Rounded_Dist;Amount;P;;;
0;1452;0.509294984;0.509294984;2152;#DIV/0!
10;390;0.136794107;0.136794107;563;#DIV/0!
20;250;0.08768853;0.08768853;330;#DIV/0!
30;190;0.066643283;0.066643283;278;#DIV/0!
40;190;0.066643283;0.066643283;246;#DIV/0!
50;111;0.038933707;0.038933707;157;#DIV/0!
60;99;0.034724658;0.034724658;131;#DIV/0!
70;58;0.020343739;0.020343739;82;#DIV/0!
80;44;0.015433181;0.015433181;52;#DIV/0!
90;31;0.010873378;0.010873378;41;#DIV/0!
100;31;0.010873378;0.010873378;34;#DIV/0!
110;3;0.001052262;0.001052262;3;#DIV/0!
120;2;0.000701508;0.000701508;2;#DIV/0!
;;;;;
;2851;;;;
