DeltaYear;;A*B;P(X = xi);(xi-muX)2;D*E
2;218280;436560;0,165591953;9,986315351;1,653653458
3;176472;529416;0,133875495;4,666088978;0,624674972
4;137948;551792;0,104650351;1,345862605;0,140844994
5;119550;597750;0,090693229;0,025636232;0,002325033
1;101522;101522;0,077016796;17,30654172;1,332894391
6;97968;587808;0,074320654;0,70540986;0,052426522
7;81282;568974;0,061662292;3,385183487;0,208738172
0;78582;0;0,059614013;26,6267681;1,587328506
8;65898;527184;0,049991655;8,064957114;0,403180555
9;54054;486486;0,041006539;14,74473074;0,604630381
10;43696;436960;0,033148735;23,42450437;0,776492697
11;34962;384582;0,026522933;34,104278;0,904545485
12;27220;326640;0,020649684;46,78405162;0,966075866
13;21128;274664;0,01602816;61,46382525;0,985152028
14;16366;229124;0,012415603;78,14359888;0,970199927
15;12214;183210;0,009265806;96,82337251;0,897146575
16;9148;146368;0,006939872;117,5031461;0,815456752
17;6478;110126;0,004914352;140,1829198;0,688908157
18;4612;83016;0,003498763;164,8626934;0,576815565
19;3194;60686;0,002423038;191,542467;0,464114643
20;2240;44800;0,001699313;220,2222406;0,374226448
21;1424;29904;0,001080277;250,9020143;0,271043764
22;908;19976;0,000688829;283,5817879;0,195339228
23;580;13340;0,000440001;318,2615615;0,14003528
24;430;10320;0,000326207;354,9413352;0,115784471
25;268;6700;0,000203311;393,6211088;0,080027354
26;242;6292;0,000183586;434,3008824;0,079731762
28;206;5768;0,000156276;521,6604297;0,081523046
27;180;4860;0,000136552;476,980656;0,065132621
29;174;5046;0,000132;568,3402033;0,07502101
32;130;4160;9,86E-05;720,3795242;0,071044423
31;128;3968;9,71E-05;667,6997505;0,064836038
30;120;3600;9,10E-05;617,0199769;0,056170172
35;120;4200;9,10E-05;890,4188451;0,081058931
33;112;3696;8,50E-05;775,0592978;0,065853405
34;92;3128;6,98E-05;831,7390714;0,058049731
38;90;3420;6,83E-05;1078,458166;0,073632763
36;82;2952;6,22E-05;951,0986187;0,059164975
37;80;2960;6,07E-05;1013,778392;0,061525946
;1318180;6801958;5,160113186;;16,72480604
;;;;;
;;;;d=;0,009175697
