Dist;Amount;;;;
0;1102054;0;0,986404044;0,101566459;0,100185566
10;8052;80520;0,00720702;93,72766783;0,675497189
30;2668;80040;0,002388019;880,9798706;2,103796749
20;1750;35000;0,001566354;387,3537692;0,606733262
40;996;39840;0,000891479;1574,605972;1,403728772
60;558;33480;0,000499443;3561,858175;1,778946104
90;374;33660;0,000334752;8042,736479;2,692324544
50;270;13500;0,000241666;2468,232073;0,596488019
70;262;18340;0,000234506;4855,484276;1,138638364
80;220;17600;0,000196913;6349,110377;1,250223123
100;34;3400;3,0432E-05;9936,36258;0,302383658
110;4;440;3,58024E-06;12029,98868;0,043070229
120;2;240;1,79012E-06;14323,61478;0,025640979
;1117244;356060;;Variance:;12,71765656
;;Moyenne:;0,318694931;;
;;;;d=;0,008691113
