0;28764;0;0,340016076;4,809817876;1,635415402
4;23109;92436;0,273168944;3,264780285;0,891836583
3;20095;60285;0,237540782;0,651039683;0,154648475
1;7185;7185;0,084933094;1,423558478;0,120907226
5;4567;22835;0,053986004;7,878520888;0,425329861
2;634;1268;0,007494444;0,037299081;0,000279536
6;196;1176;0,002316894;14,49226149;0,03357704
7;33;231;0,000390089;23,10600209;0,009013406
9;8;72;9,45671E-05;46,3334833;0,004381624
8;4;32;4,72836E-05;33,71974269;0,001594389
10;1;10;1,18209E-05;60,9472239;0,00072045
;84596;185530;;Variance:;3,277703993
;Moyenne:;2,193129699;;d:;0,016034514
