12804924,12869739,12805997,12869739,12869516,12869461,12869516,12805352,12869089,12869461,12869067,12869109,12805997,12805602,12883415,12805602,12805297,12805404,12883415,12879151,12889007,
12825018,12819327,12819283,12819327,12822546,12818312,12822546,12820211,12820354,12818312,12846519,12823054,12819283,12818024,12920536,12818024,12816911,12816821,12920536,12817010,12920127,
12830722,12854455,13095666,12854455,12847935,12844314,12847935,12849533,12849454,12844314,12910122,12913172,13095666,12831205,13094994,12831205,13083956,12831053,13094994,12970430,13094327,
12855280,13077349,12896679,13077349,13068742,12988806,13068742,13062422,13061702,12988806,12985230,12986389,12896679,12895580,12894776,12895580,12894462,12894415,12894776,12940511,12893965,
12861309,12962623,12860858,12962623,12963592,12943413,12963592,12942750,12963004,12943413,12962980,12942750,12860858,12860279,12957250,12860279,12859808,12859731,12957250,12964239,12860022,
12871986,12947484,12873256,12947484,12948957,12898655,12948957,13043785,13000882,12898655,12897353,13109439,12873256,12873081,13130470,12873081,12872931,12898379,13130470,12872610,13130458,
12873565,12873642,12873380,12873642,12872332,12872387,12872332,12872556,12872721,12872387,13043667,12872556,12873380,12873554,12872872,12873554,12872721,12897578,12872872,12872952,12872963,
12873949,13047162,12873405,13047162,13045721,13130719,13045721,13046249,13044895,13130719,13045534,13130438,12873405,13045125,13118770,13045125,12872092,13045888,13118770,13046135,13118179,
12885085,12884687,13086727,12884687,12885052,12884954,12885052,12884375,12884294,12884954,12884819,13009281,13086727,13086480,12885018,13086480,13086380,13086285,12885018,12884367,12884304,
12959620,12828596,13066290,12828596,13084449,12916121,13084449,12885619,13083862,12916121,13058585,13058123,13066290,13062127,12956783,13062127,13059502,13058119,12956783,12876055,12956266,
12959746,12958114,12958149,12958114,12860074,12957575,12860074,13042628,12859698,12957575,12955958,12859849,12958149,12957126,12956798,12957126,12859746,13096557,12956798,12955841,13096557,
12959824,12828596,13066290,12828596,13084449,12916121,13084449,12885619,13083862,12916121,13058585,13058123,13066290,13062127,12956783,13062127,13059502,13058119,12956783,12876055,12956266,
12984011,12989331,12989600,12989331,12876595,12985981,12876595,12875897,12875973,12985981,13008881,12987329,12989600,12986759,12985386,12986759,12986509,12985955,12985386,12986860,12986162,
12984184,12988940,12988911,12988940,12985444,12986775,12985444,12986351,12985648,12986775,12986117,12988054,12988911,12986948,12986472,12986948,13003909,12986215,12986472,12986860,12986114,
12984312,12989397,12989331,12989397,12986472,12985025,12986472,12986860,12986114,12985025,12955220,12986162,12989331,12876595,12985981,12876595,12875897,12875973,12985981,13008881,12987329,
13011400,13010375,13010354,13010375,13009566,12860337,13009566,13008865,12955439,12860337,12830891,13096577,13010354,13009679,12860141,13009679,13008950,13009050,12860141,12955530,12859705,
13011813,13010510,13010548,13010510,13009625,13009532,13009625,13009046,13008971,13009532,12882907,13009028,13010548,13009547,13009850,13009547,13008985,13103715,13009850,13008960,13009137,
13021179,13018789,13018951,13018789,13017363,13024887,13017363,13016332,13016162,13024887,13027620,13000170,13018951,13017537,13017726,13017537,13016699,13016753,13017726,13016408,13016924,
13075749,13065380,13067268,13065380,13060740,13061266,13060740,13058253,13058266,13061266,13041514,13058995,13067268,13061552,13061779,13061552,12910230,13058860,13061779,13059457,13057978,
13076196,13065681,13066777,13065681,13060679,13061152,13060679,13057929,13058671,13061152,13058160,13057749,13066777,13061634,13061569,13061634,13058190,13059180,13061569,12977963,12969689,
13076612,13067576,13067961,13067576,13063582,13062726,13063582,13060104,13060931,13062726,13114198,12828189,13067961,12871421,13061872,12871421,12828072,12908461,13061872,13059263,13059561,
13076894,13069732,13066482,13069732,13061878,13063721,13061878,13058489,13059537,13063721,13060230,13060380,13066482,13061278,13061817,13061278,13114184,13058067,13061817,13058489,13034110,
13077591,13067935,13066779,13067935,13061972,13062696,13061972,13058170,13058805,13062696,13059687,13059342,13066779,13061440,13061423,13061440,13059567,13059190,13061423,13058612,13058565,
13077815,13064064,13065843,13064064,12942259,13061074,12942259,12915633,12942186,13061074,13058305,12849344,13065843,13060044,13060352,13060044,13057510,13057858,13060352,13057850,13058178,
